Employee ID,Department,Team,Location,Hire Date,Termination Date,Termination Type
1001,Operations,Biz Ops,USA,2/1/2019,,
1002,Operations,Biz Ops,USA,2/15/2019,,
1003,Operations,Compliance,USA,2/15/2019,,
1004,Operations,Compliance,USA,5/2/2019,,
1005,Operations,Talent Acquisition,USA,3/18/2019,,
1006,Operations,Finance,USA,4/14/2019,11/15/2019,Resignation (Voluntary)
1007,Operations,Finance,USA,4/4/2022,,
1008,Operations,Finance,USA,1/10/2022,,
1009,Operations,Compliance,USA,11/1/2021,,
1010,Operations,Talent Acquisition,USA,4/5/2021,,
1011,Operations,Compliance,USA,6/7/2021,9/2/2021,Termination (Involuntary)
1012,Operations,Biz Ops,USA,4/6/2020,11/9/2021,Resignation (Voluntary)
1013,Operations,Talent Acquisition,USA,11/29/2021,,
1014,Operations,Talent Acquisition,USA,3/1/2021,,
1015,Operations,Compliance,USA,6/1/2019,,
1016,Operations,Talent Acquisition,USA,7/1/2019,,
1017,Operations,Finance,USA,5/4/2020,,
1018,Operations,Compliance,USA,5/10/2020,,
1019,Operations,Finance,USA,7/1/2020,,
1020,Operations,Biz Ops,USA,3/1/2021,,
1021,Operations,Compliance,USA,3/1/2021,,
1022,Operations,Talent Acquisition,USA,10/26/2021,,
1023,Operations,Compliance,USA,1/10/2022,,
1024,Operations,Talent Acquisition,USA,2/1/2022,,
2001,Sales,Sales,USA,11/1/2021,,
2002,Sales,Sales,USA,11/1/2021,,
2003,Sales,Sales,Germany,8/16/2020,,
2004,Sales,Sales,Spain,3/18/2019,11/11/2021,Resignation (Voluntary)
2005,Sales,Sales,USA,11/29/2021,,
2006,Sales,Sales,Germany,4/4/2022,,
2007,Sales,Sales,USA,1/10/2022,,
2008,Sales,Sales,USA,11/1/2021,,
2009,Sales,Sales,USA,4/5/2021,,
2010,Sales,Sales,USA,6/7/2021,,
2011,Sales,Sales,USA,4/6/2020,,
2012,Sales,Sales,USA,11/29/2021,,
2013,Sales,Sales,USA,3/1/2021,,
2014,Sales,Sales,Spain,8/30/2021,,
2015,Sales,Sales,Spain,11/1/2021,,
2016,Sales,Sales,Germany,8/16/2021,,
2017,Sales,Sales,USA,11/1/2021,,
2018,Sales,Sales,USA,11/1/2021,,
2019,Sales,Sales,USA,4/5/2021,,
2020,Sales,Sales,USA,11/1/2021,,
2021,Sales,Sales,USA,11/1/2021,,
2022,Sales,Sales,USA,3/1/2021,,
3001,Marketing,Customer Marketing,USA,1/17/2020,1/15/2022,Resignation (Voluntary)
3002,Marketing,Leap,USA,11/1/2021,,
3003,Marketing,Customer Marketing,USA,10/13/2021,,
3004,Marketing,Leap,USA,8/16/2021,,
3005,Marketing,Customer Marketing,USA,8/30/2021,,
3006,Marketing,Unknown,USA,11/1/2021,,
3007,Marketing,Customer Marketing,USA,10/26/2021,,
3008,Marketing,Customer Marketing,USA,11/1/2021,,
3009,Marketing,Customer Marketing,USA,3/1/2021,,
3010,Marketing,Customer Marketing,USA,11/1/2021,,
3011,Marketing,Unknown,USA,4/5/2021,,
3012,Marketing,Leap,USA,11/29/2021,,
3013,Marketing,Customer Marketing,USA,11/29/2021,,
3014,Marketing,Customer Marketing,USA,9/13/2021,,
3015,Marketing,Leap,USA,9/13/2021,,
4001,Product & Engineering,Business Enablement,USA,6/7/2021,,
4002,Product & Engineering,Data Engineering,USA,1/10/2022,,
4003,Product & Engineering,Foundations,USA,11/1/2021,,
4004,Product & Engineering,Supply Chain,USA,6/7/2021,,
4005,Product & Engineering,Data Engineering,USA,11/1/2021,,
4006,Product & Engineering,Data Engineering,Romania,10/26/2021,,
4007,Product & Engineering,SRE,USA,4/5/2021,,
4008,Product & Engineering,Monetization Platform,USA,3/1/2021,,
4009,Product & Engineering,Activation,USA,3/1/2021,,
4010,Product & Engineering,Foundations,USA,11/1/2021,,
4011,Product & Engineering,Feedback,USA,11/1/2021,,
4012,Product & Engineering,Feedback,USA,1/10/2022,,
4013,Product & Engineering,Foundations,USA,4/5/2021,,
4014,Product & Engineering,Supply Chain,USA,6/7/2021,,
4015,Product & Engineering,Data Analytics,Romania,1/10/2022,,
4016,Product & Engineering,Data Engineering,Romania,6/7/2021,,
4017,Product & Engineering,Monetization Platform,USA,6/7/2021,,
4018,Product & Engineering,Business Enablement,USA,3/1/2021,,
4019,Product & Engineering,Data Engineering,USA,8/16/2021,,
4020,Product & Engineering,Data Analytics,USA,11/1/2021,,
4021,Product & Engineering,Activation,USA,6/7/2021,,
4022,Product & Engineering,Data Analytics,USA,4/5/2021,,
4023,Product & Engineering,Feedback,USA,10/26/2021,,
4024,Product & Engineering,SRE,USA,11/1/2021,,
4025,Product & Engineering,SRE,USA,8/2/2021,,
4026,Product & Engineering,Buyer Experience,USA,10/26/2021,,
4027,Product & Engineering,Supply Chain,USA,11/1/2021,,
4028,Product & Engineering,Monetization Platform,USA,8/16/2021,,
4029,Product & Engineering,Data Analytics,USA,4/5/2021,,
4030,Product & Engineering,Activation,USA,10/26/2021,,
4031,Product & Engineering,Security & Auth,USA,11/1/2021,,
4032,Product & Engineering,Feedback,USA,8/16/2021,,
4033,Product & Engineering,Security & Auth,USA,11/29/2021,,
4034,Product & Engineering,Activation,USA,9/28/2020,5/12/2021,Resignation (Voluntary)
4035,Product & Engineering,Core UX,USA,11/29/2021,,
4036,Product & Engineering,Data Engineering,USA,11/29/2021,,
4037,Product & Engineering,Buyer Experience,USA,8/2/2021,,
4038,Product & Engineering,Business Enablement,USA,8/16/2021,,
4039,Product & Engineering,Data Analytics,Romania,3/1/2021,,
4040,Product & Engineering,SRE,USA,4/5/2021,,
4041,Product & Engineering,Foundations,USA,6/7/2021,,
4042,Product & Engineering,Core UX,USA,1/10/2022,,
4043,Product & Engineering,Supply Chain,USA,11/1/2021,,
4044,Product & Engineering,SRE,USA,3/1/2021,,
4045,Product & Engineering,Monetization Platform,USA,6/7/2021,,
4046,Product & Engineering,Activation,USA,3/1/2021,,
4047,Product & Engineering,Business Enablement,USA,11/1/2021,,
4048,Product & Engineering,Core UX,USA,11/1/2021,,
4049,Product & Engineering,Monetization Platform,USA,3/1/2021,,
4050,Product & Engineering,Buyer Experience,USA,9/13/2021,,
4051,Product & Engineering,Data Engineering,USA,3/1/2021,11/20/2021,Resignation (Voluntary)
4052,Product & Engineering,Data Analytics,Romania,3/1/2021,,
4053,Product & Engineering,Data Analytics,Romania,4/23/2021,,
4054,Product & Engineering,Data Analytics,Romania,8/16/2021,,
4055,Product & Engineering,SRE,USA,8/10/2021,,
4056,Product & Engineering,Buyer Experience,USA,3/7/2022,,
4057,Product & Engineering,Monetization Platform,USA,10/6/2020,,
4058,Product & Engineering,Buyer Experience,USA,1/6/2022,,
4059,Product & Engineering,Data Engineering,USA,1/31/2021,,
4060,Product & Engineering,Supply Chain,USA,3/22/2020,,
4061,Product & Engineering,Buyer Experience,USA,2/7/2022,,
4062,Product & Engineering,SRE,USA,10/5/2021,,
4063,Product & Engineering,Data Engineering,USA,12/31/2020,5/1/2022,Resignation (Voluntary)
4064,Product & Engineering,Data Analytics,Romania,6/12/2021,,
4065,Product & Engineering,SRE,USA,1/17/2020,4/14/2021,Resignation (Voluntary)
4066,Product & Engineering,Monetization Platform,USA,1/9/2022,,
4067,Product & Engineering,Data Analytics,USA,5/28/2020,6/1/2021,Termination (Involuntary)
4068,Product & Engineering,Activation,USA,3/11/2021,,
4069,Product & Engineering,Feedback,USA,3/10/2021,,
4070,Product & Engineering,Activation,USA,9/1/2021,,
4071,Product & Engineering,Data Engineering,USA,7/27/2020,6/1/2021,Termination (Involuntary)
4072,Product & Engineering,Business Enablement,USA,9/21/2020,,
4073,Product & Engineering,Monetization Platform,USA,12/1/2020,,
4074,Product & Engineering,Core UX,USA,12/18/2020,,
4075,Product & Engineering,Feedback,USA,1/17/2021,,
4076,Product & Engineering,Foundations,USA,12/26/2020,,
4077,Product & Engineering,Security & Auth,USA,6/17/2020,,
4078,Product & Engineering,Buyer Experience,USA,4/7/2021,,
4079,Product & Engineering,Data Analytics,Poland,3/14/2022,,
4080,Product & Engineering,Data Engineering,Poland,11/5/2020,6/1/2021,Termination (Involuntary)
4081,Product & Engineering,Data Engineering,Poland,7/22/2021,,
4082,Product & Engineering,Data Engineering,USA,2/16/2020,,
4083,Product & Engineering,Monetization Platform,USA,6/22/2020,,
4084,Product & Engineering,Supply Chain,USA,4/2/2020,,
4085,Product & Engineering,Buyer Experience,USA,3/1/2020,,
4086,Product & Engineering,Data Analytics,USA,9/20/2021,,
4087,Product & Engineering,Data Analytics,USA,12/18/2020,2/15/2022,Resignation (Voluntary)
4088,Product & Engineering,Buyer Experience,USA,1/12/2021,,
4089,Product & Engineering,Activation,USA,11/11/2020,,
4090,Product & Engineering,Data Engineering,USA,9/25/2021,,
4091,Product & Engineering,Data Engineering,USA,11/19/2021,,
4092,Product & Engineering,Feedback,USA,8/29/2021,,
4093,Product & Engineering,Feedback,USA,6/21/2021,,
4094,Product & Engineering,Data Analytics,Poland,2/19/2022,,
4095,Product & Engineering,Buyer Experience,USA,3/8/2022,,
4096,Product & Engineering,Activation,USA,7/18/2021,,
4097,Product & Engineering,Data Analytics,Poland,6/5/2020,,
4098,Product & Engineering,Core UX,USA,7/17/2020,,
4099,Product & Engineering,Business Enablement,USA,2/4/2022,,
4100,Product & Engineering,Security & Auth,USA,4/10/2020,,
4101,Product & Engineering,Buyer Experience,USA,6/28/2020,,
4102,Product & Engineering,Data Engineering,Poland,3/5/2021,,
4103,Product & Engineering,Data Analytics,USA,4/21/2020,6/1/2022,Resignation (Voluntary)
4104,Product & Engineering,Activation,USA,3/6/2020,,
4105,Product & Engineering,Business Enablement,USA,6/19/2021,,
4106,Product & Engineering,Data Engineering,Poland,4/21/2021,,
4107,Product & Engineering,Activation,USA,11/29/2020,,
4108,Product & Engineering,Supply Chain,USA,1/21/2021,,
4109,Product & Engineering,Data Analytics,USA,11/2/2020,6/1/2022,Resignation (Voluntary)
4110,Product & Engineering,Foundations,USA,4/29/2021,,
4111,Product & Engineering,Monetization Platform,USA,8/5/2020,,
4112,Product & Engineering,Business Enablement,USA,3/28/2020,,
4113,Product & Engineering,Data Analytics,USA,11/6/2020,12/15/2021,Resignation (Voluntary)
4114,Product & Engineering,Business Enablement,USA,11/13/2021,,
4115,Product & Engineering,Data Engineering,USA,4/3/2021,,
4116,Product & Engineering,Data Analytics,USA,2/12/2022,,
4117,Product & Engineering,Data Analytics,Poland,2/21/2020,5/1/2022,Termination (Involuntary)
4118,Product & Engineering,Monetization Platform,USA,3/15/2020,,
4119,Product & Engineering,Core UX,USA,10/20/2021,,
4120,Product & Engineering,Data Engineering,USA,9/30/2021,,
4121,Product & Engineering,Feedback,USA,4/6/2020,,
5001,Customer Experience,Success,Germany,2/19/2021,,
5002,Customer Experience,Support,USA,2/25/2020,,
5003,Customer Experience,Support,USA,1/13/2022,5/1/2022,Resignation (Voluntary)
5004,Customer Experience,Success,USA,2/19/2022,,
5005,Customer Experience,Support,Germany,5/27/2020,,
5006,Customer Experience,Support,Germany,12/2/2020,,
5007,Customer Experience,Support,USA,9/3/2021,,
5008,Customer Experience,Support,USA,1/18/2021,,
5009,Customer Experience,Support,USA,10/19/2020,3/1/2022,Resignation (Voluntary)
5010,Customer Experience,Success,Germany,9/8/2021,,
5011,Customer Experience,Support,USA,6/1/2021,,
5012,Customer Experience,Support,USA,7/26/2021,,
5013,Customer Experience,Support,USA,2/22/2020,12/15/2020,Termination (Involuntary)
5014,Customer Experience,Support,USA,2/1/2020,11/11/2021,Termination (Involuntary)
5015,Customer Experience,Support,USA,9/29/2021,,
5016,Customer Experience,Success,USA,4/1/2022,,
5017,Customer Experience,Support,USA,8/15/2020,,
5018,Customer Experience,Success,USA,12/6/2021,4/29/2022,Termination (Involuntary)
5019,Customer Experience,Support,USA,2/14/2022,5/1/2022,Resignation (Voluntary)
5020,Customer Experience,Success,USA,8/28/2021,,
5021,Customer Experience,Support,USA,1/8/2022,,
5022,Customer Experience,Support,USA,11/18/2020,12/20/2021,Resignation (Voluntary)
5023,Customer Experience,Success,USA,11/6/2021,,
5024,Customer Experience,Success,Spain,4/15/2021,,
5025,Customer Experience,Support,USA,8/20/2021,1/15/2022,Termination (Involuntary)
5026,Customer Experience,Support,Spain,5/3/2021,,
5027,Customer Experience,Support,Spain,3/10/2021,,
5028,Customer Experience,Success,Spain,11/30/2020,,